Code,Borough,Year,Offences,Rate,Number_of_offences
E09000008,Croydon,2014-15,Violence Against the Person,23.7,"8,914"
E09000009,Ealing,2014-15,Violence Against the Person,23.1,"7,891"
E09000010,Enfield,2014-15,Violence Against the Person,19.4,"6,288"
E09000011,Greenwich,2014-15,Violence Against the Person,25.4,"6,837"
E09000012,Hackney,2014-15,Violence Against the Person,28.9,"7,598"
E09000013,Hammersmith and Fulham,2014-15,Violence Against the Person,28.7,"5,124"
E09000014,Haringey,2014-15,Violence Against the Person,24.9,"6,659"
E09000015,Harrow,2014-15,Violence Against the Person,15.1,"3,725"
E09000016,Havering,2014-15,Violence Against the Person,17.1,"4,199"
E09000017,Hillingdon,2014-15,Violence Against the Person,23.7,"6,930"
E09000018,Hounslow,2014-15,Violence Against the Person,24,"6,369"
E09000019,Islington,2014-15,Violence Against the Person,31.1,"6,884"
E09000020,Kensington and Chelsea,2014-15,Violence Against the Person,25.7,"4,016"
E09000021,Kingston upon Thames,2014-15,Violence Against the Person,15.5,"2,642"
E09000022,Lambeth,2014-15,Violence Against the Person,30.1,"9,568"
E09000023,Lewisham,2014-15,Violence Against the Person,25.3,"7,398"
E09000024,Merton,2014-15,Violence Against the Person,16,"3,251"
E09000025,Newham,2014-15,Violence Against the Person,25.3,"8,207"
E09000026,Redbridge,2014-15,Violence Against the Person,19.9,"5,845"
E09000027,Richmond upon Thames,2014-15,Violence Against the Person,13.2,"2,554"
E09000028,Southwark,2014-15,Violence Against the Person,27.6,"8,342"
E09000029,Sutton,2014-15,Violence Against the Person,16.9,"3,347"
E09000030,Tower Hamlets,2014-15,Violence Against the Person,28.3,"8,051"
E09000031,Waltham Forest,2014-15,Violence Against the Person,24.1,"6,462"
E09000032,Wandsworth,2014-15,Violence Against the Person,19.1,"5,958"
E09000033,Westminster,2014-15,Violence Against the Person,38.6,"9,006"
#N/A,Heathrow,2014-15,Violence Against the Person,n/a,436
E13000001,Inner London,2014-15,Violence Against the Person,27.3,"92,869"
E13000002,Outer London,2014-15,Violence Against the Person,20.3,"104,153"
E12000007,Met Police Area,2014-15,Violence Against the Person,23.1,"197,458"
727,England and Wales,2014-15,Violence Against the Person,n/a,n/a
E09000002,Barking and Dagenham,2015-16,Violence Against the Person,30.2,"6,097"
E09000003,Barnet,2015-16,Violence Against the Person,18.9,"7,165"
E09000004,Bexley,2015-16,Violence Against the Person,17.1,"4,135"
E09000005,Brent,2015-16,Violence Against the Person,27.1,"8,778"
E09000006,Bromley,2015-16,Violence Against the Person,20.5,"6,673"
E09000007,Camden,2015-16,Violence Against the Person,31.1,"7,507"
E09000008,Croydon,2015-16,Violence Against the Person,26.6,"10,084"
E09000009,Ealing,2015-16,Violence Against the Person,26.9,"9,243"
E09000010,Enfield,2015-16,Violence Against the Person,21.3,"6,994"
E09000011,Greenwich,2015-16,Violence Against the Person,29.5,"8,114"
E09000012,Hackney,2015-16,Violence Against the Person,31.5,"8,474"
E09000013,Hammersmith and Fulham,2015-16,Violence Against the Person,33.1,"5,941"
E09000014,Haringey,2015-16,Violence Against the Person,28.9,"7,899"
E09000015,Harrow,2015-16,Violence Against the Person,17.5,"4,333"
E09000016,Havering,2015-16,Violence Against the Person,21.8,"5,425"
E09000017,Hillingdon,2015-16,Violence Against the Person,25.1,"7,471"
E09000018,Hounslow,2015-16,Violence Against the Person,27.4,"7,371"
E09000019,Islington,2015-16,Violence Against the Person,34.2,"7,780"
E09000020,Kensington and Chelsea,2015-16,Violence Against the Person,29,"4,580"
E09000021,Kingston upon Thames,2015-16,Violence Against the Person,17.9,"3,110"
E09000022,Lambeth,2015-16,Violence Against the Person,32.9,"10,670"
E09000023,Lewisham,2015-16,Violence Against the Person,29.2,"8,696"
E09000024,Merton,2015-16,Violence Against the Person,20.1,"4,110"
E09000025,Newham,2015-16,Violence Against the Person,29.4,"9,800"
E09000026,Redbridge,2015-16,Violence Against the Person,20.9,"6,206"
E09000027,Richmond upon Thames,2015-16,Violence Against the Person,15.4,"3,001"
E09000028,Southwark,2015-16,Violence Against the Person,29.5,"9,127"
E09000029,Sutton,2015-16,Violence Against the Person,19.1,"3,817"
E09000030,Tower Hamlets,2015-16,Violence Against the Person,31.1,"9,178"
E09000031,Waltham Forest,2015-16,Violence Against the Person,26.6,"7,217"
E09000032,Wandsworth,2015-16,Violence Against the Person,22.5,"7,079"
E09000033,Westminster,2015-16,Violence Against the Person,42.3,"10,251"
#N/A,Heathrow,2015-16,Violence Against the Person,n/a,292
E13000001,Inner London,2015-16,Violence Against the Person,30.8,"106,982"
E13000002,Outer London,2015-16,Violence Against the Person,22.9,"119,344"
E12000007,Met Police Area,2015-16,Violence Against the Person,26.1,"226,618"
727,England and Wales,2015-16,Violence Against the Person,n/a,n/a
E09000002,Barking and Dagenham,2016-17,Violence Against the Person,24.7,"5,093"
E09000003,Barnet,2016-17,Violence Against the Person,16.9,"6,516"
E09000004,Bexley,2016-17,Violence Against the Person,15.8,"3,856"
E09000005,Brent,2016-17,Violence Against the Person,23.9,"7,858"
E09000006,Bromley,2016-17,Violence Against the Person,17.2,"5,625"
E09000007,Camden,2016-17,Violence Against the Person,26.3,"6,463"
E09000008,Croydon,2016-17,Violence Against the Person,23.6,"9,004"
E09000009,Ealing,2016-17,Violence Against the Person,23.3,"7,990"
E09000010,Enfield,2016-17,Violence Against the Person,18.9,"6,265"
E09000011,Greenwich,2016-17,Violence Against the Person,26,"7,280"
E09000012,Hackney,2016-17,Violence Against the Person,27.9,"7,623"
E09000013,Hammersmith and Fulham,2016-17,Violence Against the Person,28.8,"5,168"
E09000014,Haringey,2016-17,Violence Against the Person,26.4,"7,355"
E09000015,Harrow,2016-17,Violence Against the Person,14.4,"3,591"
E09000016,Havering,2016-17,Violence Against the Person,20.3,"5,119"
E09000017,Hillingdon,2016-17,Violence Against the Person,21.4,"6,459"
E09000018,Hounslow,2016-17,Violence Against the Person,23.1,"6,275"
E09000019,Islington,2016-17,Violence Against the Person,28.1,"6,532"
E09000020,Kensington and Chelsea,2016-17,Violence Against the Person,25.6,"4,010"
E09000021,Kingston upon Thames,2016-17,Violence Against the Person,15.7,"2,758"
E09000022,Lambeth,2016-17,Violence Against the Person,27.4,"8,990"
E09000023,Lewisham,2016-17,Violence Against the Person,24.6,"7,434"
E09000024,Merton,2016-17,Violence Against the Person,16.6,"3,413"
E09000025,Newham,2016-17,Violence Against the Person,23.8,"8,110"
E09000026,Redbridge,2016-17,Violence Against the Person,17.8,"5,340"
E09000027,Richmond upon Thames,2016-17,Violence Against the Person,13.6,"2,672"
E09000028,Southwark,2016-17,Violence Against the Person,25.3,"7,919"
E09000029,Sutton,2016-17,Violence Against the Person,15.5,"3,132"
E09000030,Tower Hamlets,2016-17,Violence Against the Person,27.1,"8,276"
E09000031,Waltham Forest,2016-17,Violence Against the Person,22.3,"6,143"
E09000032,Wandsworth,2016-17,Violence Against the Person,18.4,"5,815"
E09000033,Westminster,2016-17,Violence Against the Person,39,"9,658"
#N/A,Heathrow,2016-17,Violence Against the Person,n/a,269
E13000001,Inner London,2016-17,Violence Against the Person,26.5,"93,353"
E13000002,Outer London,2016-17,Violence Against the Person,19.9,"104,389"
E12000007,Met Police Area,2016-17,Violence Against the Person,22.5,"198,011"
727,England and Wales,2016-17,Violence Against the Person,n/a,n/a
E09000002,Barking and Dagenham,1999-00,Sexual Offences,1.1,186
E09000003,Barnet,1999-00,Sexual Offences,0.8,244
E09000004,Bexley,1999-00,Sexual Offences,0.7,155
E09000005,Brent,1999-00,Sexual Offences,1.3,337
E09000006,Bromley,1999-00,Sexual Offences,0.6,166
E09000007,Camden,1999-00,Sexual Offences,1.6,295
E09000008,Croydon,1999-00,Sexual Offences,0.9,302
E09000009,Ealing,1999-00,Sexual Offences,1.2,360
E09000010,Enfield,1999-00,Sexual Offences,0.8,221
E09000011,Greenwich,1999-00,Sexual Offences,1.6,349
E09000012,Hackney,1999-00,Sexual Offences,1.9,377
E09000013,Hammersmith and Fulham,1999-00,Sexual Offences,1.5,244
E09000014,Haringey,1999-00,Sexual Offences,2,431
E09000015,Harrow,1999-00,Sexual Offences,0.7,153
E09000016,Havering,1999-00,Sexual Offences,0.6,145
E09000017,Hillingdon,1999-00,Sexual Offences,0.9,224
E09000018,Hounslow,1999-00,Sexual Offences,1.3,286
E09000019,Islington,1999-00,Sexual Offences,1.9,334
E09000020,Kensington and Chelsea,1999-00,Sexual Offences,1.2,182
E09000021,Kingston upon Thames,1999-00,Sexual Offences,0.8,116
E09000022,Lambeth,1999-00,Sexual Offences,2,532
E09000023,Lewisham,1999-00,Sexual Offences,1.6,394
E09000024,Merton,1999-00,Sexual Offences,0.7,130
E09000025,Newham,1999-00,Sexual Offences,1.4,347
E09000026,Redbridge,1999-00,Sexual Offences,0.8,180
E09000027,Richmond upon Thames,1999-00,Sexual Offences,0.8,134
E09000028,Southwark,1999-00,Sexual Offences,1.8,455
E09000029,Sutton,1999-00,Sexual Offences,0.7,128
E09000030,Tower Hamlets,1999-00,Sexual Offences,1.6,318
E09000031,Waltham Forest,1999-00,Sexual Offences,1.1,247
E09000032,Wandsworth,1999-00,Sexual Offences,1.1,278
E09000033,Westminster,1999-00,Sexual Offences,3.3,633
#N/A,Heathrow,1999-00,Sexual Offences,n/a,22
E13000001,Inner London,1999-00,Sexual Offences,1.8,"4,820"
E13000002,Outer London,1999-00,Sexual Offences,0.9,"4,063"
E12000007,Met Police Area,1999-00,Sexual Offences,1.2,"8,905"
727,England and Wales,1999-00,Sexual Offences,n/a,n/a
E09000002,Barking and Dagenham,2000-01,Sexual Offences,1.3,210
E09000003,Barnet,2000-01,Sexual Offences,0.7,220
E09000004,Bexley,2000-01,Sexual Offences,0.9,189
E09000005,Brent,2000-01,Sexual Offences,1.3,339
E09000006,Bromley,2000-01,Sexual Offences,0.6,186
E09000007,Camden,2000-01,Sexual Offences,1.6,318
E09000008,Croydon,2000-01,Sexual Offences,1.2,392
E09000009,Ealing,2000-01,Sexual Offences,1.1,344
E09000010,Enfield,2000-01,Sexual Offences,0.9,256
E09000011,Greenwich,2000-01,Sexual Offences,1.6,343
E09000012,Hackney,2000-01,Sexual Offences,1.8,371
E09000013,Hammersmith and Fulham,2000-01,Sexual Offences,1.4,222
E09000014,Haringey,2000-01,Sexual Offences,2,431
E09000015,Harrow,2000-01,Sexual Offences,0.6,123
E09000016,Havering,2000-01,Sexual Offences,0.7,158
E09000017,Hillingdon,2000-01,Sexual Offences,0.8,207
E09000018,Hounslow,2000-01,Sexual Offences,1.1,245
E09000019,Islington,2000-01,Sexual Offences,1.5,264
E09000020,Kensington and Chelsea,2000-01,Sexual Offences,0.9,139
E09000021,Kingston upon Thames,2000-01,Sexual Offences,0.8,120
E09000022,Lambeth,2000-01,Sexual Offences,2.1,561
E09000023,Lewisham,2000-01,Sexual Offences,1.5,372
E09000024,Merton,2000-01,Sexual Offences,0.6,118
E09000025,Newham,2000-01,Sexual Offences,1.4,334
E09000026,Redbridge,2000-01,Sexual Offences,0.8,194
E09000027,Richmond upon Thames,2000-01,Sexual Offences,0.5,94
E09000028,Southwark,2000-01,Sexual Offences,1.8,444
E09000029,Sutton,2000-01,Sexual Offences,0.5,97
E09000030,Tower Hamlets,2000-01,Sexual Offences,1.9,383
E09000031,Waltham Forest,2000-01,Sexual Offences,1.1,247
E09000032,Wandsworth,2000-01,Sexual Offences,1.1,291
E09000033,Westminster,2000-01,Sexual Offences,2.6,517
#N/A,Heathrow,2000-01,Sexual Offences,n/a,22
E13000001,Inner London,2000-01,Sexual Offences,1.7,"4,647"
E13000002,Outer London,2000-01,Sexual Offences,0.9,"4,082"
E12000007,Met Police Area,2000-01,Sexual Offences,1.2,"8,759"
727,England and Wales,2000-01,Sexual Offences,n/a,n/a
E09000002,Barking and Dagenham,2001-02,Sexual Offences,1.3,211
E09000003,Barnet,2001-02,Sexual Offences,0.8,245
E09000004,Bexley,2001-02,Sexual Offences,1,222
E09000005,Brent,2001-02,Sexual Offences,1.2,334
E09000006,Bromley,2001-02,Sexual Offences,0.8,232
E09000007,Camden,2001-02,Sexual Offences,2.1,416
E09000008,Croydon,2001-02,Sexual Offences,1.1,384
E09000009,Ealing,2001-02,Sexual Offences,1.1,342
E09000010,Enfield,2001-02,Sexual Offences,1.1,296
E09000011,Greenwich,2001-02,Sexual Offences,1.7,361
E09000012,Hackney,2001-02,Sexual Offences,1.8,370
E09000013,Hammersmith and Fulham,2001-02,Sexual Offences,1.3,219
E09000014,Haringey,2001-02,Sexual Offences,2.2,492
E09000015,Harrow,2001-02,Sexual Offences,0.6,118
E09000016,Havering,2001-02,Sexual Offences,0.8,173
E09000017,Hillingdon,2001-02,Sexual Offences,1.1,268
E09000018,Hounslow,2001-02,Sexual Offences,1.3,279
E09000019,Islington,2001-02,Sexual Offences,1.9,347
E09000020,Kensington and Chelsea,2001-02,Sexual Offences,1.2,191
E09000021,Kingston upon Thames,2001-02,Sexual Offences,1,153
E09000022,Lambeth,2001-02,Sexual Offences,2,544
E09000023,Lewisham,2001-02,Sexual Offences,1.5,389
E09000024,Merton,2001-02,Sexual Offences,1,187
E09000025,Newham,2001-02,Sexual Offences,1.7,433
E09000026,Redbridge,2001-02,Sexual Offences,1,240
E09000027,Richmond upon Thames,2001-02,Sexual Offences,0.6,112
E09000028,Southwark,2001-02,Sexual Offences,1.7,438
E09000029,Sutton,2001-02,Sexual Offences,0.6,115
E09000030,Tower Hamlets,2001-02,Sexual Offences,1.7,347
E09000031,Waltham Forest,2001-02,Sexual Offences,1.3,297
E09000032,Wandsworth,2001-02,Sexual Offences,1.3,364
E09000033,Westminster,2001-02,Sexual Offences,3.8,772
#N/A,Heathrow,2001-02,Sexual Offences,n/a,33
E13000001,Inner London,2001-02,Sexual Offences,1.9,"5,322"
E13000002,Outer London,2001-02,Sexual Offences,1,"4,569"
E12000007,Met Police Area,2001-02,Sexual Offences,1.4,"9,944"
727,England and Wales,2001-02,Sexual Offences,n/a,n/a
E09000002,Barking and Dagenham,2002-03,Sexual Offences,1.5,251
E09000003,Barnet,2002-03,Sexual Offences,0.9,292
E09000004,Bexley,2002-03,Sexual Offences,0.9,204
E09000005,Brent,2002-03,Sexual Offences,1.1,287
E09000006,Bromley,2002-03,Sexual Offences,0.8,240
E09000007,Camden,2002-03,Sexual Offences,1.7,353
E09000008,Croydon,2002-03,Sexual Offences,1.3,427
E09000009,Ealing,2002-03,Sexual Offences,1.2,359
E09000010,Enfield,2002-03,Sexual Offences,1.1,299
E09000011,Greenwich,2002-03,Sexual Offences,1.7,369
E09000012,Hackney,2002-03,Sexual Offences,1.8,370
E09000013,Hammersmith and Fulham,2002-03,Sexual Offences,1.5,262
E09000014,Haringey,2002-03,Sexual Offences,2.3,511
E09000015,Harrow,2002-03,Sexual Offences,0.6,133
E09000016,Havering,2002-03,Sexual Offences,0.8,178
E09000017,Hillingdon,2002-03,Sexual Offences,1.1,276
E09000018,Hounslow,2002-03,Sexual Offences,1.4,308
E09000019,Islington,2002-03,Sexual Offences,2.4,425
E09000020,Kensington and Chelsea,2002-03,Sexual Offences,1.9,306
E09000021,Kingston upon Thames,2002-03,Sexual Offences,1,150
E09000022,Lambeth,2002-03,Sexual Offences,2.1,584
E09000023,Lewisham,2002-03,Sexual Offences,1.8,459
E09000024,Merton,2002-03,Sexual Offences,0.9,178
E09000025,Newham,2002-03,Sexual Offences,1.7,433
E09000026,Redbridge,2002-03,Sexual Offences,0.9,231
E09000027,Richmond upon Thames,2002-03,Sexual Offences,0.6,104
E09000028,Southwark,2002-03,Sexual Offences,1.8,457
E09000029,Sutton,2002-03,Sexual Offences,0.7,135
E09000030,Tower Hamlets,2002-03,Sexual Offences,2.2,449
E09000031,Waltham Forest,2002-03,Sexual Offences,1.3,288
E09000032,Wandsworth,2002-03,Sexual Offences,1.3,368
E09000033,Westminster,2002-03,Sexual Offences,3.4,702
#N/A,Heathrow,2002-03,Sexual Offences,n/a,22
E13000001,Inner London,2002-03,Sexual Offences,2,"5,679"
E13000002,Outer London,2002-03,Sexual Offences,1,"4,709"
E12000007,Met Police Area,2002-03,Sexual Offences,1.4,"10,427"
727,England and Wales,2002-03,Sexual Offences,0.9,"48,654"
E09000002,Barking and Dagenham,2003-04,Sexual Offences,1.4,235
E09000003,Barnet,2003-04,Sexual Offences,0.8,266
E09000004,Bexley,2003-04,Sexual Offences,0.7,159
E09000005,Brent,2003-04,Sexual Offences,1.4,374
E09000006,Bromley,2003-04,Sexual Offences,0.8,233
E09000007,Camden,2003-04,Sexual Offences,2.1,425
E09000008,Croydon,2003-04,Sexual Offences,1.1,384
E09000009,Ealing,2003-04,Sexual Offences,1.2,355
E09000010,Enfield,2003-04,Sexual Offences,1.1,311
E09000011,Greenwich,2003-04,Sexual Offences,1.7,382
E09000012,Hackney,2003-04,Sexual Offences,2,415
E09000013,Hammersmith and Fulham,2003-04,Sexual Offences,1.6,268
E09000014,Haringey,2003-04,Sexual Offences,2.2,499
E09000015,Harrow,2003-04,Sexual Offences,0.6,138
E09000016,Havering,2003-04,Sexual Offences,0.8,181
E09000017,Hillingdon,2003-04,Sexual Offences,1.1,267
E09000018,Hounslow,2003-04,Sexual Offences,1.3,285
E09000019,Islington,2003-04,Sexual Offences,2.3,423
E09000020,Kensington and Chelsea,2003-04,Sexual Offences,1.6,265
E09000021,Kingston upon Thames,2003-04,Sexual Offences,1.1,162
E09000022,Lambeth,2003-04,Sexual Offences,1.8,491
E09000023,Lewisham,2003-04,Sexual Offences,1.5,376
E09000024,Merton,2003-04,Sexual Offences,0.8,158
E09000025,Newham,2003-04,Sexual Offences,1.9,484
E09000026,Redbridge,2003-04,Sexual Offences,0.9,235
E09000027,Richmond upon Thames,2003-04,Sexual Offences,0.6,101
E09000028,Southwark,2003-04,Sexual Offences,2,500
E09000029,Sutton,2003-04,Sexual Offences,0.7,135
E09000030,Tower Hamlets,2003-04,Sexual Offences,1.8,372
E09000031,Waltham Forest,2003-04,Sexual Offences,1.2,269
E09000032,Wandsworth,2003-04,Sexual Offences,1.2,344
E09000033,Westminster,2003-04,Sexual Offences,3.3,688
#N/A,Heathrow,2003-04,Sexual Offences,n/a,20
E13000001,Inner London,2003-04,Sexual Offences,1.9,"5,550"
E13000002,Outer London,2003-04,Sexual Offences,1,"4,630"
E12000007,Met Police Area,2003-04,Sexual Offences,1.4,"10,200"
727,England and Wales,2003-04,Sexual Offences,1,"52,070"
E09000002,Barking and Dagenham,2004-05,Sexual Offences,1.5,244
E09000003,Barnet,2004-05,Sexual Offences,1.2,379
E09000004,Bexley,2004-05,Sexual Offences,1.2,255
E09000005,Brent,2004-05,Sexual Offences,1.1,298
E09000006,Bromley,2004-05,Sexual Offences,1,308
E09000007,Camden,2004-05,Sexual Offences,2.6,535
E09000008,Croydon,2004-05,Sexual Offences,1.2,411
E09000009,Ealing,2004-05,Sexual Offences,1.3,388
E09000010,Enfield,2004-05,Sexual Offences,0.9,247
E09000011,Greenwich,2004-05,Sexual Offences,1.5,352
E09000012,Hackney,2004-05,Sexual Offences,2.1,454
E09000013,Hammersmith and Fulham,2004-05,Sexual Offences,1.3,226
E09000014,Haringey,2004-05,Sexual Offences,1.9,423
E09000015,Harrow,2004-05,Sexual Offences,0.9,193
E09000016,Havering,2004-05,Sexual Offences,0.7,159
E09000017,Hillingdon,2004-05,Sexual Offences,1.1,268
E09000018,Hounslow,2004-05,Sexual Offences,1.3,292
E09000019,Islington,2004-05,Sexual Offences,2,368
E09000020,Kensington and Chelsea,2004-05,Sexual Offences,1.9,318
E09000021,Kingston upon Thames,2004-05,Sexual Offences,1.2,181
E09000022,Lambeth,2004-05,Sexual Offences,2.2,602
E09000023,Lewisham,2004-05,Sexual Offences,1.6,407
E09000024,Merton,2004-05,Sexual Offences,1.1,216
E09000025,Newham,2004-05,Sexual Offences,1.8,449
E09000026,Redbridge,2004-05,Sexual Offences,1.1,281
E09000027,Richmond upon Thames,2004-05,Sexual Offences,1,174
E09000028,Southwark,2004-05,Sexual Offences,1.9,479
E09000029,Sutton,2004-05,Sexual Offences,0.9,170
E09000030,Tower Hamlets,2004-05,Sexual Offences,1.9,410
E09000031,Waltham Forest,2004-05,Sexual Offences,1.1,239
E09000032,Wandsworth,2004-05,Sexual Offences,1.2,333
E09000033,Westminster,2004-05,Sexual Offences,3.6,772
#N/A,Heathrow,2004-05,Sexual Offences,n/a,33
E13000001,Inner London,2004-05,Sexual Offences,2,"5,776"
E13000002,Outer London,2004-05,Sexual Offences,1.1,"5,055"
E12000007,Met Police Area,2004-05,Sexual Offences,1.5,"10,864"
727,England and Wales,2004-05,Sexual Offences,1.1,"60,946"
E09000002,Barking and Dagenham,2005-06,Sexual Offences,1.6,258
E09000003,Barnet,2005-06,Sexual Offences,0.9,309
E09000004,Bexley,2005-06,Sexual Offences,0.9,199
E09000005,Brent,2005-06,Sexual Offences,1.2,319
E09000006,Bromley,2005-06,Sexual Offences,1,293
E09000007,Camden,2005-06,Sexual Offences,2.2,459
E09000008,Croydon,2005-06,Sexual Offences,1,352
E09000009,Ealing,2005-06,Sexual Offences,1,326
E09000010,Enfield,2005-06,Sexual Offences,1,293
E09000011,Greenwich,2005-06,Sexual Offences,1.6,370
E09000012,Hackney,2005-06,Sexual Offences,2.1,463
E09000013,Hammersmith and Fulham,2005-06,Sexual Offences,1.3,223
E09000014,Haringey,2005-06,Sexual Offences,1.8,424
E09000015,Harrow,2005-06,Sexual Offences,0.7,156
E09000016,Havering,2005-06,Sexual Offences,0.9,213
E09000017,Hillingdon,2005-06,Sexual Offences,1.2,302
E09000018,Hounslow,2005-06,Sexual Offences,1.3,284
E09000019,Islington,2005-06,Sexual Offences,1.9,346
E09000020,Kensington and Chelsea,2005-06,Sexual Offences,1.3,211
E09000021,Kingston upon Thames,2005-06,Sexual Offences,1.2,176
E09000022,Lambeth,2005-06,Sexual Offences,2.1,577
E09000023,Lewisham,2005-06,Sexual Offences,1.5,380
E09000024,Merton,2005-06,Sexual Offences,1.1,204
E09000025,Newham,2005-06,Sexual Offences,1.5,389
E09000026,Redbridge,2005-06,Sexual Offences,0.8,207
E09000027,Richmond upon Thames,2005-06,Sexual Offences,0.8,139
E09000028,Southwark,2005-06,Sexual Offences,1.7,457
E09000029,Sutton,2005-06,Sexual Offences,1,190
E09000030,Tower Hamlets,2005-06,Sexual Offences,1.9,401
E09000031,Waltham Forest,2005-06,Sexual Offences,1.2,278
E09000032,Wandsworth,2005-06,Sexual Offences,1.2,328
E09000033,Westminster,2005-06,Sexual Offences,3.3,738
#N/A,Heathrow,2005-06,Sexual Offences,n/a,29
E13000001,Inner London,2005-06,Sexual Offences,1.8,"5,396"
E13000002,Outer London,2005-06,Sexual Offences,1.1,"4,868"
E12000007,Met Police Area,2005-06,Sexual Offences,1.4,"10,293"
727,England and Wales,2005-06,Sexual Offences,1.1,"61,111"
E09000002,Barking and Dagenham,2006-07,Sexual Offences,1.6,263
E09000003,Barnet,2006-07,Sexual Offences,0.9,301
E09000004,Bexley,2006-07,Sexual Offences,0.8,181
E09000005,Brent,2006-07,Sexual Offences,1.2,336
E09000006,Bromley,2006-07,Sexual Offences,0.9,261
E09000007,Camden,2006-07,Sexual Offences,1.6,339
E09000008,Croydon,2006-07,Sexual Offences,1,354
E09000009,Ealing,2006-07,Sexual Offences,1,319
E09000010,Enfield,2006-07,Sexual Offences,0.8,241
E09000011,Greenwich,2006-07,Sexual Offences,1.5,361
E09000012,Hackney,2006-07,Sexual Offences,1.7,385
E09000013,Hammersmith and Fulham,2006-07,Sexual Offences,1.2,209
E09000014,Haringey,2006-07,Sexual Offences,1.3,296
E09000015,Harrow,2006-07,Sexual Offences,0.9,200
E09000016,Havering,2006-07,Sexual Offences,0.6,147
E09000017,Hillingdon,2006-07,Sexual Offences,1,255
E09000018,Hounslow,2006-07,Sexual Offences,1.2,274
E09000019,Islington,2006-07,Sexual Offences,1.6,294
E09000020,Kensington and Chelsea,2006-07,Sexual Offences,1.2,201
E09000021,Kingston upon Thames,2006-07,Sexual Offences,1,152
E09000022,Lambeth,2006-07,Sexual Offences,1.7,468
E09000023,Lewisham,2006-07,Sexual Offences,1.6,411
E09000024,Merton,2006-07,Sexual Offences,0.9,177
E09000025,Newham,2006-07,Sexual Offences,1.4,360
E09000026,Redbridge,2006-07,Sexual Offences,0.8,204
E09000027,Richmond upon Thames,2006-07,Sexual Offences,0.7,129
E09000028,Southwark,2006-07,Sexual Offences,1.7,455
E09000029,Sutton,2006-07,Sexual Offences,0.8,139
E09000030,Tower Hamlets,2006-07,Sexual Offences,1.8,403
E09000031,Waltham Forest,2006-07,Sexual Offences,1,240
E09000032,Wandsworth,2006-07,Sexual Offences,1.2,342
E09000033,Westminster,2006-07,Sexual Offences,2.6,572
#N/A,Heathrow,2006-07,Sexual Offences,n/a,36
E13000001,Inner London,2006-07,Sexual Offences,1.6,"4,735"
E13000002,Outer London,2006-07,Sexual Offences,1,"4,534"
E12000007,Met Police Area,2006-07,Sexual Offences,1.2,"9,305"
727,England and Wales,2006-07,Sexual Offences,1,"56,570"
E09000002,Barking and Dagenham,2007-08,Sexual Offences,1.7,288
E09000003,Barnet,2007-08,Sexual Offences,0.8,269
E09000004,Bexley,2007-08,Sexual Offences,0.7,153
E09000005,Brent,2007-08,Sexual Offences,1.2,343
E09000006,Bromley,2007-08,Sexual Offences,0.8,244
E09000007,Camden,2007-08,Sexual Offences,1.1,240
E09000008,Croydon,2007-08,Sexual Offences,1.1,372
E09000009,Ealing,2007-08,Sexual Offences,1,307
E09000010,Enfield,2007-08,Sexual Offences,0.8,246
E09000011,Greenwich,2007-08,Sexual Offences,1.4,324
E09000012,Hackney,2007-08,Sexual Offences,1.7,375
E09000013,Hammersmith and Fulham,2007-08,Sexual Offences,1.4,247
E09000014,Haringey,2007-08,Sexual Offences,1.3,296
E09000015,Harrow,2007-08,Sexual Offences,0.7,168
E09000016,Havering,2007-08,Sexual Offences,0.6,132
E09000017,Hillingdon,2007-08,Sexual Offences,1,250
E09000018,Hounslow,2007-08,Sexual Offences,1.1,267
E09000019,Islington,2007-08,Sexual Offences,1.4,273
E09000020,Kensington and Chelsea,2007-08,Sexual Offences,0.9,154
E09000021,Kingston upon Thames,2007-08,Sexual Offences,1,150
E09000022,Lambeth,2007-08,Sexual Offences,1.4,413
E09000023,Lewisham,2007-08,Sexual Offences,1.4,370
E09000024,Merton,2007-08,Sexual Offences,1,202
E09000025,Newham,2007-08,Sexual Offences,1.3,340
E09000026,Redbridge,2007-08,Sexual Offences,0.8,200
E09000027,Richmond upon Thames,2007-08,Sexual Offences,0.8,149
E09000028,Southwark,2007-08,Sexual Offences,1.3,347
E09000029,Sutton,2007-08,Sexual Offences,0.8,154
E09000030,Tower Hamlets,2007-08,Sexual Offences,1.6,354
E09000031,Waltham Forest,2007-08,Sexual Offences,0.9,214
E09000032,Wandsworth,2007-08,Sexual Offences,1.2,343
E09000033,Westminster,2007-08,Sexual Offences,2.5,554
#N/A,Heathrow,2007-08,Sexual Offences,n/a,28
E13000001,Inner London,2007-08,Sexual Offences,1.4,"4,306"
E13000002,Outer London,2007-08,Sexual Offences,1,"4,432"
E12000007,Met Police Area,2007-08,Sexual Offences,1.1,"8,766"
727,England and Wales,2007-08,Sexual Offences,1,"52,744"
E09000002,Barking and Dagenham,2008-09,Sexual Offences,1.2,205
E09000003,Barnet,2008-09,Sexual Offences,0.7,247
E09000004,Bexley,2008-09,Sexual Offences,0.6,137
E09000005,Brent,2008-09,Sexual Offences,1,287
E09000006,Bromley,2008-09,Sexual Offences,0.7,225
E09000007,Camden,2008-09,Sexual Offences,0.9,197
E09000008,Croydon,2008-09,Sexual Offences,1.1,397
E09000009,Ealing,2008-09,Sexual Offences,1,314
