Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13 ,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Number of jobs in area - 2013,Employment per head of resident WA population - 2013,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
Croydon - Croham,00AHGL,E05000152,16200.0,3250.0,10900.0,2050.0,20.2,67.3,12.6,37.1,35.0,3.5,4614.3,31.3,24.3,6.5,66.7,80.1,82.6,8.9,19.1,105.0,0.7,0.0,8417.0,76.5,5100.0,0.5,18.1,250000.0,389.0,42260.0,7218.0,18.9,15.8,16.2,49.1,60.1,8.3,29.4,11.7,65.9,22.5,9.5,8.5,3.3,1.3,10.5,3.9,41.6,442.0,50.0,341.2,1.2,12.0,42.1,713.1,218.3,57.3,15.7,0.2,19.1,1.0,3.3,1.3,36.3
Croydon - Fairfield,00AHGM,E05000153,21750.0,4200.0,15350.0,2250.0,19.2,70.5,10.3,35.2,33.0,3.8,5065.8,48.7,42.3,13.7,66.5,79.9,82.0,10.2,24.8,260.3,4.1,11.0,8567.0,73.1,31500.0,2.3,42.3,236000.0,495.0,39130.0,8361.0,9.1,7.0,14.5,69.4,39.8,15.5,40.7,14.5,74.2,11.3,11.4,14.6,2.1,2.4,13.1,4.7,45.6,357.0,66.7,317.3,1.5,12.3,45.9,658.5,208.8,215.9,58.7,0.2,17.5,0.6,5.7,0.9,29.8
Croydon - Fieldway,00AHGN,E05000154,11850.0,3500.0,7150.0,1200.0,29.6,60.2,10.2,32.0,29.0,1.5,7800.0,34.4,19.3,4.1,61.5,77.7,82.1,13.9,24.6,138.8,0.5,0.0,3947.0,58.5,500.0,0.1,9.2,220000.0,45.0,26720.0,4053.0,2.8,25.7,37.1,34.4,33.5,60.6,4.8,34.0,66.0,0.0,23.3,24.5,6.9,4.2,28.1,15.5,52.2,56.0,100.0,276.0,1.9,34.4,12.5,631.7,198.5,61.8,26.8,2.5,22.9,0.8,2.9,0.3,23.7
Croydon - Heathfield,00AHGP,E05000155,13600.0,2450.0,8650.0,2450.0,18.2,63.7,18.2,40.1,40.0,8.7,1551.7,24.6,16.9,2.8,67.2,82.5,84.8,10.6,17.8,104.3,0.6,2.0,6385.0,74.3,2300.0,0.3,6.5,260000.0,225.0,39770.0,5513.0,13.3,30.8,29.2,26.8,75.6,9.3,13.7,12.8,69.7,17.6,10.4,7.6,3.5,1.6,14.8,3.9,36.9,454.0,33.3,309.5,1.3,17.2,29.3,713.6,214.6,70.7,15.2,1.0,61.3,1.3,2.3,0.6,38.2
Croydon - Kenley,00AHGQ,E05000156,15650.0,3250.0,9900.0,2450.0,20.9,63.3,15.8,39.0,39.0,6.5,2369.2,23.2,17.9,3.0,65.0,80.4,82.8,4.5,14.7,93.6,0.4,1.0,7217.0,75.0,2400.0,0.2,6.7,340000.0,279.0,44160.0,6019.0,33.7,29.3,12.4,24.7,74.1,11.4,12.1,3.2,63.7,33.2,8.9,6.7,2.6,1.1,8.7,3.7,36.6,466.0,33.3,330.1,1.1,14.6,36.1,718.8,220.3,35.9,11.8,0.2,39.6,1.3,1.9,1.2,35.3
Croydon - New Addington,00AHGR,E05000157,11250.0,2750.0,7000.0,1450.0,24.6,62.3,13.1,35.4,33.0,2.4,4604.2,23.7,13.9,3.0,70.8,77.1,80.2,11.3,27.8,167.9,0.5,1.0,4273.0,64.4,2200.0,0.3,8.8,245000.0,86.0,28770.0,4061.0,2.6,50.2,21.8,25.2,48.4,42.2,7.7,24.9,75.1,0.0,22.2,18.0,7.2,2.6,26.1,11.4,52.2,116.0,85.7,289.8,2.1,34.8,12.8,680.5,217.1,70.0,26.8,2.0,31.2,1.0,2.7,0.3,24.1
Croydon - Norbury,00AHGS,E05000158,17100.0,3550.0,11250.0,2300.0,20.8,65.8,13.5,37.0,35.0,2.5,6740.0,62.3,43.6,13.0,77.5,78.8,84.3,11.2,23.5,123.2,0.7,8.0,7506.0,69.5,2400.0,0.2,51.3,350000.0,203.0,36810.0,6218.0,8.9,29.2,36.0,25.9,59.8,13.8,23.6,10.6,72.3,17.1,11.3,9.8,3.4,2.4,12.3,6.1,45.3,384.0,66.7,326.8,1.1,16.2,34.1,694.1,214.9,54.2,16.0,0.2,15.8,1.0,3.1,1.8,33.8
Croydon - Purley,00AHGT,E05000159,15550.0,3050.0,10050.0,2450.0,19.7,64.6,15.7,39.0,38.0,4.2,3607.1,31.6,23.1,5.0,58.7,81.8,84.4,8.1,16.9,136.4,0.8,6.0,7086.0,74.1,4700.0,0.5,12.0,320000.0,253.0,44600.0,5851.0,28.0,23.6,14.7,33.7,71.5,7.6,18.2,4.3,58.7,37.0,9.7,6.9,3.3,1.4,8.3,3.8,43.7,462.0,44.4,345.9,0.9,12.9,40.5,759.4,222.6,78.1,18.6,0.1,3.8,1.2,2.9,1.1,35.8
Croydon - Sanderstead,00AHGU,E05000160,13200.0,2250.0,8200.0,2750.0,17.0,62.2,20.9,42.0,44.0,6.3,2071.4,19.5,13.7,1.7,49.8,83.6,86.0,7.7,12.5,86.7,0.3,0.0,5928.0,74.9,2100.0,0.3,3.3,392500.0,231.0,47030.0,4962.0,37.8,44.7,5.2,12.2,85.2,6.7,7.1,1.6,55.8,42.5,6.7,3.4,2.0,1.0,4.9,2.6,37.7,583.0,12.5,346.8,0.8,15.1,35.0,755.0,221.6,29.6,6.9,0.1,48.6,1.5,1.7,0.9,42.1
Croydon - Selhurst,00AHGW,E05000161,18550.0,4850.0,12000.0,1700.0,26.2,64.6,9.2,33.1,32.0,2.3,7978.3,65.6,40.1,11.5,85.5,74.1,80.0,14.6,27.0,172.9,1.5,2.0,7821.0,64.7,6700.0,0.6,38.9,212997.5,280.0,31220.0,7770.0,4.4,16.3,26.7,52.7,39.8,27.1,29.2,31.6,67.5,0.9,19.7,22.3,7.1,4.2,21.2,9.9,46.0,156.0,100.0,316.7,1.6,18.9,28.4,666.1,207.5,95.9,33.0,0.8,18.3,0.6,4.2,1.4,27.7
Croydon - Selsdon and Ballards,00AHGX,E05000162,12200.0,1700.0,7800.0,2750.0,13.8,63.8,22.4,43.2,46.0,6.4,1882.8,19.7,15.7,2.2,46.8,84.5,88.1,8.8,15.4,105.3,0.2,6.0,5821.0,76.4,2300.0,0.3,7.5,344000.0,196.0,45320.0,4519.0,24.4,57.6,11.7,6.3,90.8,2.0,6.3,1.1,65.9,33.0,6.3,2.2,1.9,0.7,5.6,1.7,28.7,600.0,0.0,339.7,0.7,15.2,32.0,706.9,217.0,35.5,7.7,0.5,55.2,1.5,2.0,0.7,41.3
Croydon - Shirley,00AHGY,E05000163,14700.0,2900.0,9100.0,2700.0,19.7,61.9,18.4,39.9,40.0,2.8,5214.3,30.9,19.7,3.9,60.0,81.1,87.3,9.1,20.0,92.6,0.3,5.0,6476.0,72.3,1800.0,0.2,9.7,320000.0,201.0,39500.0,5670.0,15.5,42.3,16.9,25.3,73.7,18.5,6.6,4.4,74.3,21.4,11.3,8.2,3.3,1.7,15.8,5.5,42.1,444.0,22.2,319.2,1.0,19.1,27.1,656.5,209.2,44.1,15.0,0.6,16.0,1.2,2.0,1.1,39.9
Croydon - South Norwood,00AHGZ,E05000164,16900.0,3750.0,11450.0,1750.0,22.2,67.6,10.3,35.6,35.0,2.4,6979.2,52.3,32.1,8.2,81.5,78.6,82.6,11.6,23.4,131.9,0.7,1.0,7805.0,68.7,2600.0,0.2,29.1,240000.0,338.0,34430.0,7925.0,3.8,12.7,19.1,64.5,47.9,20.7,28.9,34.4,62.1,3.5,17.7,18.7,5.9,3.8,20.7,7.3,43.7,214.0,100.0,318.9,1.3,15.9,35.0,717.1,209.4,80.0,26.4,0.2,17.5,0.7,3.9,2.0,33.9
Croydon - Thornton Heath,00AHHA,E05000165,16900.0,4300.0,11000.0,1600.0,25.4,65.1,9.5,34.2,34.0,1.7,9852.9,67.1,37.6,9.4,78.4,78.1,82.6,13.8,26.7,125.7,0.6,1.0,7275.0,66.8,2100.0,0.2,39.9,250000.0,218.0,33720.0,6741.0,4.3,19.7,38.1,37.8,54.1,19.7,24.1,27.2,71.8,1.0,17.3,18.3,5.5,4.3,16.7,8.2,40.0,231.0,100.0,297.8,1.4,18.7,28.3,649.9,213.6,82.0,30.4,0.5,11.2,0.7,3.3,1.3,31.6
Croydon - Upper Norwood,00AHHB,E05000166,16600.0,3450.0,11200.0,1950.0,20.8,67.4,11.8,36.3,36.0,2.6,6307.7,51.3,33.9,9.0,68.5,79.0,81.7,10.5,23.7,104.9,0.6,1.0,7616.0,69.7,2900.0,0.3,32.5,289750.0,252.0,37430.0,6638.0,9.5,28.0,18.0,44.6,55.3,20.6,21.9,24.9,66.1,9.0,14.0,12.3,4.4,2.6,15.2,6.2,41.6,282.0,88.9,318.4,1.3,16.6,35.2,700.3,215.8,70.8,20.7,0.4,19.4,0.9,3.0,2.7,33.9
Croydon - Waddon,00AHHC,E05000167,17650.0,4100.0,11650.0,1850.0,23.4,66.1,10.5,35.2,34.0,3.6,4847.2,44.6,30.1,8.9,73.7,75.9,80.2,11.1,19.9,138.3,0.5,5.0,7964.0,69.9,7700.0,0.7,30.7,243250.0,288.0,34630.0,7333.0,5.9,24.5,23.5,46.1,49.2,25.5,22.8,14.4,81.1,4.5,16.5,15.5,5.4,2.7,20.0,7.5,46.2,232.0,100.0,304.6,1.5,19.1,30.1,692.0,212.9,74.3,23.5,0.4,32.7,0.8,3.6,1.4,28.5
Croydon - West Thornton,00AHHD,E05000168,18000.0,4550.0,11650.0,1750.0,25.4,64.8,9.8,33.7,32.0,2.0,8925.0,76.5,46.5,15.1,77.8,78.6,83.6,12.6,24.8,165.0,0.7,2.0,7397.0,64.6,7100.0,0.6,45.6,235000.0,146.0,32400.0,6254.0,5.4,19.1,45.3,30.1,53.6,15.7,27.0,17.8,81.4,0.8,14.1,16.6,5.7,3.3,16.4,9.1,45.4,310.0,81.8,317.7,1.4,17.9,27.3,675.9,207.0,90.3,30.5,0.4,18.7,0.8,3.1,1.4,30.7
Croydon - Woodside,00AHHE,E05000169,17100.0,4200.0,11400.0,1500.0,24.7,66.6,8.7,33.9,33.0,2.2,7727.3,55.1,28.4,6.3,72.3,79.9,83.7,11.6,23.6,115.0,0.8,1.0,7821.0,69.0,1600.0,0.1,15.8,250000.0,296.0,33890.0,7121.0,3.7,16.1,45.0,35.2,53.1,19.8,24.1,18.9,80.4,0.7,16.5,16.7,4.7,3.5,20.8,8.5,44.1,242.0,90.0,299.3,1.3,17.1,29.0,680.9,211.7,65.0,21.6,0.5,33.3,0.8,3.7,1.5,30.2
Ealing - Acton Central,00AJGC,E05000170,15850.0,3150.0,11050.0,1600.0,20.0,69.9,10.2,35.1,33.0,1.8,8750.0,40.0,48.3,21.0,62.9,79.3,86.1,11.1,19.4,109.3,0.8,1.0,7576.0,69.4,3000.0,0.3,62.7,570000.0,167.0,36500.0,6480.0,3.6,23.4,12.9,60.1,40.3,23.3,33.8,12.8,67.4,19.8,13.8,16.5,5.8,4.0,15.9,5.9,48.1,265.0,88.9,335.7,1.0,14.3,40.4,726.2,217.8,77.9,26.0,0.4,24.2,0.7,3.1,5.8,35.3
Ealing - Cleveland,00AJGD,E05000171,14850.0,3200.0,9750.0,1900.0,21.7,65.7,12.7,36.7,36.0,2.2,6750.0,36.9,39.6,15.1,62.2,79.5,86.3,10.0,19.2,95.1,0.4,3.0,6625.0,68.6,2600.0,0.3,26.6,500000.0,174.0,41730.0,5837.0,4.1,22.7,22.1,51.1,54.2,21.5,21.7,11.9,58.2,29.9,12.2,12.8,4.9,3.2,14.5,5.7,48.0,299.0,44.4,338.9,0.8,13.1,46.2,727.2,220.7,47.8,13.7,0.1,34.7,0.9,3.0,3.1,42.0
Ealing - Dormers Wells,00AJGE,E05000172,14150.0,3150.0,9250.0,1750.0,22.4,65.3,12.3,35.3,33.0,2.3,6152.2,82.1,56.0,29.1,72.3,78.3,82.9,14.0,23.4,126.2,0.5,1.0,5600.0,61.0,1600.0,0.2,54.7,265000.0,56.0,29350.0,4441.0,5.3,26.9,27.1,40.6,49.1,28.4,19.2,33.1,66.9,0.0,14.0,14.5,4.9,4.3,16.4,8.3,53.9,140.0,100.0,308.5,0.7,23.5,24.4,672.1,208.7,54.0,21.1,0.4,47.3,1.0,3.3,1.2,37.9
Ealing - Ealing Broadway,00AJGF,E05000173,15550.0,2300.0,11400.0,1850.0,14.6,73.3,12.0,37.5,34.0,1.9,7868.4,30.5,44.3,18.6,41.3,78.8,84.1,6.2,15.1,135.7,1.5,1.0,7745.0,75.1,11900.0,1.1,49.8,459970.0,270.0,45540.0,6428.0,10.4,12.1,7.3,70.1,43.4,11.0,42.4,8.0,62.5,29.5,9.2,8.7,3.1,1.9,7.7,2.9,43.4,416.0,37.5,349.3,0.8,7.3,57.7,773.0,228.8,145.7,37.2,0.2,6.1,0.8,5.0,3.0,39.9
Ealing - Ealing Common,00AJGG,E05000174,14200.0,2250.0,10250.0,1700.0,15.7,72.3,12.0,37.4,35.0,2.1,6809.5,31.5,43.1,15.4,53.8,78.7,82.8,9.9,21.0,99.4,0.7,6.0,7687.0,74.6,3100.0,0.3,51.0,536000.0,169.0,43600.0,6023.0,8.7,18.3,15.7,57.3,46.8,14.6,36.4,4.7,69.4,25.9,9.1,10.1,3.7,2.0,11.9,3.7,49.4,360.0,88.9,338.9,1.1,10.8,52.6,685.9,219.8,68.9,15.4,0.2,22.2,0.9,3.6,4.2,37.7
Ealing - East Acton,00AJGH,E05000175,19800.0,3950.0,14200.0,1700.0,19.8,71.6,8.5,33.5,31.0,4.3,4523.3,50.1,54.4,22.4,64.0,79.1,85.6,11.1,26.1,115.2,0.7,8.0,9269.0,68.3,18900.0,1.4,93.1,390500.0,224.0,32930.0,7358.0,3.5,20.1,16.2,59.9,36.0,22.1,34.1,13.6,74.0,12.4,14.6,13.7,4.8,3.5,21.2,7.7,53.4,241.0,100.0,305.9,1.3,15.0,38.3,696.4,212.0,103.7,22.5,0.4,19.6,0.7,4.0,4.9,31.1
Ealing - Elthorne,00AJGJ,E05000176,15100.0,3150.0,10350.0,1600.0,21.0,68.5,10.5,35.5,35.0,2.0,7450.0,34.9,40.6,16.9,75.8,78.5,83.5,11.0,22.6,116.0,0.9,2.0,7500.0,73.1,3900.0,0.4,40.6,408750.0,190.0,38970.0,6252.0,2.5,15.9,29.5,52.0,48.2,20.2,27.8,8.3,85.4,6.3,13.3,14.7,4.9,3.3,13.2,4.8,43.7,258.0,75.0,313.4,1.0,15.1,40.6,710.0,217.8,77.5,26.4,0.3,34.2,0.8,3.8,4.0,35.8
Ealing - Greenford Broadway,00AJGK,E05000177,17750.0,4400.0,11300.0,2050.0,24.7,63.7,11.5,34.3,33.0,2.5,7120.0,57.3,48.6,22.2,75.0,77.9,82.3,13.7,23.6,134.7,0.8,6.0,7668.0,66.4,4800.0,0.4,45.7,249000.0,160.0,30500.0,6532.0,5.0,22.1,20.9,51.6,47.6,23.4,24.5,14.7,84.4,0.9,14.9,15.0,5.1,3.2,19.2,8.5,53.2,193.0,100.0,315.4,1.0,21.9,25.8,682.9,208.9,81.2,27.9,0.3,26.2,0.9,3.4,1.7,32.6
Ealing - Greenford Green,00AJGL,E05000178,14500.0,3100.0,9600.0,1800.0,21.2,66.2,12.6,36.0,34.0,3.4,4264.7,49.0,50.1,21.9,80.6,81.5,84.3,9.1,24.5,112.6,0.7,2.0,7003.0,72.6,8800.0,0.9,57.2,307000.0,135.0,35420.0,5138.0,4.8,39.1,26.7,29.4,63.1,9.7,25.1,6.5,92.5,1.0,9.9,8.8,3.7,1.9,10.1,4.2,40.5,393.0,62.5,324.9,0.7,17.8,30.2,720.1,214.1,74.8,17.9,0.1,22.6,1.1,2.6,1.5,33.3
Ealing - Hanger Hill,00AJGM,E05000179,15750.0,3000.0,10550.0,2200.0,19.1,66.9,14.0,37.4,35.0,3.3,4787.9,43.1,53.1,23.8,56.8,82.2,87.8,7.1,18.4,87.8,0.3,5.0,7640.0,71.9,9400.0,0.9,52.8,519000.0,209.0,44760.0,6334.0,11.4,20.7,19.7,48.2,54.2,4.7,38.1,5.6,57.5,36.9,7.3,7.7,2.3,1.9,8.0,3.5,46.1,495.0,44.4,330.2,1.0,9.2,50.8,687.0,210.3,60.4,14.7,0.3,26.7,1.0,3.7,2.3,36.1
Ealing - Hobbayne,00AJGN,E05000180,14300.0,3250.0,9350.0,1750.0,22.5,65.4,12.1,36.0,35.0,2.2,6522.7,37.7,40.7,17.2,73.1,78.4,84.6,11.4,18.6,105.6,0.4,2.0,6644.0,70.6,1500.0,0.2,29.2,386250.0,124.0,36220.0,5410.0,4.8,26.0,33.0,36.2,54.0,25.2,19.0,4.5,89.8,5.7,13.9,14.3,5.2,3.2,15.8,6.0,44.4,331.0,66.7,328.0,0.9,18.2,33.3,711.2,215.9,44.2,15.0,0.3,36.1,0.9,3.1,3.2,40.5
Ealing - Lady Margaret,00AJGP,E05000181,14100.0,2750.0,9600.0,1700.0,19.7,68.1,12.2,36.3,34.0,1.5,9433.3,83.5,55.9,25.2,78.7,78.1,83.9,12.9,23.6,113.0,0.6,1.0,6368.0,66.6,1100.0,0.1,60.0,285000.0,64.0,32520.0,4082.0,6.7,26.4,54.8,12.2,69.4,7.3,21.3,7.2,92.8,0.0,10.8,7.9,4.0,2.6,12.8,4.7,48.0,350.0,75.0,337.1,0.8,19.8,25.4,716.2,222.9,46.2,18.4,0.4,19.4,1.3,3.0,1.0,35.5
Ealing - Northfield,00AJGQ,E05000182,13700.0,2700.0,9400.0,1600.0,19.6,68.7,11.7,36.5,36.0,1.5,9133.3,23.2,36.2,11.1,64.1,81.8,86.1,5.3,13.1,96.0,0.5,1.0,7455.0,78.6,2200.0,0.2,35.9,615000.0,182.0,48480.0,5391.0,2.9,17.8,45.3,34.0,66.3,6.7,25.6,3.4,80.6,16.0,5.7,5.9,2.1,1.2,6.3,1.7,31.4,540.0,12.5,379.5,0.3,8.7,54.8,793.0,231.2,44.5,12.6,0.1,25.6,0.9,3.4,4.6,45.1
Ealing - North Greenford,00AJGR,E05000183,14900.0,3050.0,9900.0,1900.0,20.5,66.6,12.9,36.3,34.0,3.2,4656.3,56.4,51.4,22.1,69.7,81.4,87.1,8.8,24.8,80.8,0.3,0.0,7263.0,72.3,2100.0,0.2,60.5,345000.0,116.0,36480.0,4972.0,4.4,35.0,40.2,20.2,66.5,8.3,22.9,7.8,91.8,0.4,8.5,7.0,2.8,2.0,10.7,4.1,42.5,436.0,25.0,323.2,0.9,16.9,30.1,700.5,217.5,51.8,11.7,0.3,53.3,1.2,2.6,1.2,33.9
Ealing - Northolt Mandeville,00AJGS,E05000184,15350.0,3600.0,9900.0,1850.0,23.4,64.5,12.1,35.0,34.0,2.8,5482.1,51.7,44.1,19.5,75.4,81.6,84.0,12.1,24.9,109.5,0.7,6.0,6724.0,67.3,4100.0,0.4,39.5,300000.0,132.0,31950.0,5708.0,3.7,29.6,25.3,40.8,53.3,24.2,19.4,14.6,84.7,0.7,15.3,14.6,5.0,3.4,20.1,8.6,51.3,226.0,88.9,302.8,1.0,21.5,25.7,662.9,208.6,63.3,20.6,0.6,34.5,0.9,3.2,1.0,33.6
Ealing - Northolt West End,00AJGT,E05000185,15200.0,3950.0,9700.0,1550.0,26.0,63.8,10.2,33.7,32.0,3.5,4371.4,55.1,41.5,18.6,78.6,78.0,83.0,14.1,21.9,111.0,0.2,10.0,6057.0,61.9,1600.0,0.2,31.7,226111.0,131.0,28550.0,5718.0,3.0,26.4,17.4,53.1,43.0,34.5,19.2,29.4,70.5,0.2,18.5,19.4,5.9,4.4,23.1,10.6,55.0,112.0,100.0,319.9,1.1,25.1,21.7,677.2,210.1,67.5,21.1,0.5,56.3,0.9,2.5,1.1,31.6
Ealing - Norwood Green,00AJGU,E05000186,14200.0,2950.0,9650.0,1600.0,20.8,67.9,11.4,35.7,33.0,3.8,3750.0,78.0,50.7,25.6,67.9,77.9,81.3,12.3,23.1,169.7,0.7,2.0,5521.0,57.3,10200.0,1.1,51.2,257500.0,70.0,29020.0,4336.0,10.8,26.4,19.7,42.2,42.6,34.7,17.7,25.9,61.0,13.2,18.0,14.0,6.9,4.2,21.2,8.7,54.1,65.0,100.0,309.1,1.1,21.8,26.7,719.9,215.5,91.1,43.5,0.6,54.5,1.1,2.3,1.7,35.6
Ealing - Perivale,00AJGW,E05000187,15450.0,3200.0,10350.0,1950.0,20.6,66.8,12.5,36.2,34.0,3.4,4573.5,54.6,55.4,26.7,70.7,82.9,84.9,11.6,24.4,90.4,0.6,4.0,7544.0,71.4,6300.0,0.6,64.2,367500.0,118.0,36040.0,5447.0,3.9,33.3,39.1,23.7,62.3,8.5,27.0,5.5,94.3,0.2,10.3,9.3,3.3,1.9,11.6,4.2,42.2,408.0,44.4,339.8,0.8,17.4,30.8,733.2,214.2,73.3,16.8,0.3,38.3,1.1,2.3,2.5,34.3
Ealing - South Acton,00AJGX,E05000188,16200.0,3350.0,11100.0,1750.0,20.6,68.6,10.8,35.1,33.0,1.7,9205.9,43.5,50.5,23.4,67.9,77.8,80.4,11.6,26.9,162.4,1.3,5.0,6938.0,68.1,7100.0,0.7,65.2,440000.0,151.0,34300.0,6227.0,3.7,14.9,8.2,73.2,32.8,33.9,29.2,31.0,51.2,17.8,13.1,17.5,5.6,3.8,19.0,6.5,54.7,246.0,88.9,320.7,1.0,16.2,39.4,657.4,200.6,88.7,28.0,0.3,17.5,0.7,4.6,4.3,35.5
Ealing - Southall Broadway,00AJGY,E05000189,16200.0,3700.0,10900.0,1600.0,22.7,67.3,10.0,34.2,31.0,1.6,9343.8,93.7,64.1,36.0,100.6,78.8,83.4,14.8,23.3,155.6,1.5,8.0,5425.0,59.1,4300.0,0.4,132.0,250000.0,37.0,27930.0,3926.0,8.8,21.0,45.4,24.8,54.6,16.4,24.9,23.1,76.9,0.0,13.9,12.5,5.4,4.0,16.9,6.7,55.9,181.0,100.0,315.5,1.1,23.8,21.9,732.9,219.1,107.9,35.8,0.4,14.1,0.9,3.2,1.0,41.0
Ealing - Southall Green,00AJGZ,E05000190,15200.0,3600.0,10250.0,1350.0,23.8,67.3,8.9,33.2,31.0,1.6,9406.3,91.4,63.3,36.7,115.6,76.5,84.1,14.3,24.7,129.5,1.0,3.0,6042.0,59.7,3300.0,0.3,123.4,243000.0,97.0,27150.0,4345.0,8.8,23.1,40.5,27.6,51.4,13.6,31.5,26.3,73.7,0.0,13.5,13.0,5.2,4.0,17.4,9.1,61.6,173.0,100.0,305.8,1.1,23.6,21.6,686.0,212.9,83.9,31.2,0.6,16.3,0.9,3.0,1.3,35.9
Ealing - Southfield,00AJHA,E05000191,13600.0,2500.0,9500.0,1550.0,18.6,69.9,11.5,36.9,36.0,1.4,9714.3,20.8,36.2,10.7,77.9,80.3,85.7,7.4,18.0,72.6,0.6,1.0,7601.0,77.6,4800.0,0.5,31.8,780000.0,219.0,50170.0,6207.0,3.0,12.3,33.6,51.1,57.1,9.8,31.3,4.8,55.5,39.7,6.9,7.9,3.1,1.8,9.4,2.4,42.4,485.0,25.0,350.5,1.0,9.0,57.8,698.3,213.6,64.5,11.1,0.1,14.3,0.8,3.1,6.2,42.4
Ealing - Walpole,00AJHB,E05000192,13500.0,2600.0,9400.0,1550.0,19.1,69.4,11.5,36.6,35.0,1.5,9033.3,27.1,38.0,14.1,68.8,79.9,83.8,7.8,18.5,101.6,1.0,4.0,7364.0,77.3,7800.0,0.8,40.6,612500.0,168.0,46240.0,5656.0,4.4,19.6,31.3,44.6,56.7,12.0,28.8,7.3,71.7,21.0,8.3,8.6,2.8,2.0,7.3,2.7,45.1,423.0,37.5,371.3,0.5,10.2,53.7,787.6,234.5,73.8,19.7,0.3,20.1,0.8,3.8,5.1,43.8
Enfield - Bowes,00AKGL,E05000193,14550.0,2650.0,10250.0,1650.0,18.2,70.4,11.3,36.2,34.0,1.5,9733.3,38.6,47.5,23.3,67.4,83.0,85.1,9.3,21.1,81.9,0.2,5.0,7292.0,71.9,1400.0,0.1,64.6,319995.0,147.0,36300.0,5598.0,3.4,14.8,36.4,45.5,55.2,10.7,32.1,8.7,86.8,4.5,14.0,11.8,4.2,2.5,17.8,5.1,41.1,279.0,75.0,329.8,1.1,16.7,36.3,702.2,211.0,50.8,14.7,0.5,15.3,0.8,3.9,2.1,31.9
Enfield - Bush Hill Park,00AKGM,E05000194,14150.0,2500.0,9050.0,2600.0,17.6,64.0,18.4,40.6,40.0,2.5,5720.0,26.8,25.7,7.7,55.6,81.7,84.1,10.8,22.4,128.6,0.3,3.0,6585.0,73.0,2200.0,0.2,12.3,360200.0,223.0,41800.0,5609.0,5.0,32.6,34.3,28.0,78.5,5.2,15.1,4.1,78.5,17.4,9.0,6.1,3.0,1.8,9.7,3.4,40.1,504.0,33.3,353.4,0.9,20.4,32.6,671.8,216.5,53.9,10.4,0.6,29.6,1.3,2.7,1.6,36.7
Enfield - Chase,00AKGN,E05000195,14000.0,3150.0,8950.0,1950.0,22.3,63.8,13.9,36.9,36.0,16.9,834.3,23.4,21.0,7.0,66.9,77.3,81.4,12.0,24.4,111.0,0.2,5.0,6180.0,69.5,4200.0,0.5,10.4,324000.0,173.0,36350.0,5744.0,9.2,19.8,33.4,37.1,60.4,21.3,15.7,23.2,68.5,8.4,14.4,14.2,5.0,2.9,18.5,7.6,55.3,292.0,62.5,317.0,1.4,22.4,28.1,684.9,216.4,55.8,15.4,0.6,81.5,1.1,2.0,1.9,35.8
